pair,variant,condition,dimension,group,n,model_mean,old_gt,old_residual,new_gt,new_residual,residual_delta,status
GLM,ablit,Clinical,race,Hispanic,120,13.083,3.15,9.933,3.154,9.929,-0.004,CORRECTED
GLM,ablit,Clinical,race,Asian,120,12.25,2.23,10.02,2.157,10.093,0.073,CORRECTED
GLM,ablit,Clinical,race,Multiracial,120,13.642,3.0,10.642,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
GLM,ablit,Narrative,ses,Low,200,12.67,2.23,10.44,4.247,8.423,-2.017,CORRECTED
GLM,ablit,Narrative,ses,Middle,200,10.605,2.23,8.375,3.118,7.487,-0.888,CORRECTED
GLM,ablit,Narrative,ses,High,200,8.145,2.23,5.915,2.227,5.918,0.003,CORRECTED
GLM,ablit,Narrative,gender,Cisgender Man,150,10.46,2.23,8.23,2.505,7.955,-0.275,CORRECTED
GLM,ablit,Narrative,gender,Cisgender Woman,150,9.56,2.23,7.33,3.443,6.117,-1.213,CORRECTED
GLM,ablit,Narrative,gender,Transgender Man,150,10.82,2.23,8.59,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
GLM,ablit,Narrative,gender,Transgender Woman,150,11.053,2.23,8.823,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
GLM,ablit,Narrative,race,White,120,10.092,3.19,6.902,2.912,7.18,0.278,CORRECTED
GLM,ablit,Narrative,race,Black,120,10.275,3.21,7.065,3.242,7.033,-0.032,CORRECTED
GLM,ablit,Narrative,race,Hispanic,120,11.017,3.15,7.867,3.154,7.863,-0.004,CORRECTED
GLM,ablit,Narrative,race,Asian,120,9.808,2.23,7.578,2.157,7.651,0.073,CORRECTED
GLM,ablit,Narrative,race,Multiracial,120,11.175,3.0,8.175,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Phi4,base,Clinical,ses,Low,200,16.105,2.23,13.875,4.247,11.858,-2.017,CORRECTED
Phi4,base,Clinical,ses,Middle,200,10.61,2.23,8.38,3.118,7.492,-0.888,CORRECTED
Phi4,base,Clinical,ses,High,200,6.805,2.23,4.575,2.227,4.578,0.003,CORRECTED
Phi4,base,Clinical,gender,Cisgender Man,150,10.74,2.23,8.51,2.505,8.235,-0.275,CORRECTED
Phi4,base,Clinical,gender,Cisgender Woman,150,11.5,2.23,9.27,3.443,8.057,-1.213,CORRECTED
Phi4,base,Clinical,gender,Transgender Man,150,11.207,2.23,8.977,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
Phi4,base,Clinical,gender,Transgender Woman,150,11.247,2.23,9.017,UNBENCHMARKABLE,DROPPED,n/a,WITHDRAWN_no_v2_GT
