pair,variant,condition,dimension,group,n,residual,t,p,p_bh,sig_bh_.05
Phi3med,ablit,Narrative,race,Hispanic,120,10.546,62.761,0.000e+00,0.000e+00,True
Phi3med,ablit,Narrative,race,Asian,120,11.36,63.852,0.000e+00,0.000e+00,True
Phi3med,ablit,Narrative,gender,Cisgender Man,150,10.815,64.9,0.000e+00,0.000e+00,True
Phi3med,ablit,Narrative,gender,Cisgender Woman,150,10.084,68.144,0.000e+00,0.000e+00,True
Phi3med,ablit,Narrative,ses,Low,200,9.688,72.022,0.000e+00,0.000e+00,True
Phi3med,ablit,Narrative,ses,Middle,200,10.152,73.015,0.000e+00,0.000e+00,True
Phi3med,ablit,Narrative,ses,High,200,10.663,73.242,0.000e+00,0.000e+00,True
Llama3.1,base,Clinical,race,White,120,8.596,22.395,0.000e+00,0.000e+00,True
Llama3.1,base,Clinical,race,Black,120,8.125,20.644,0.000e+00,0.000e+00,True
Llama3.1,base,Clinical,race,Hispanic,120,8.704,22.083,0.000e+00,0.000e+00,True
Llama3.1,base,Clinical,race,Asian,120,8.793,22.78,0.000e+00,0.000e+00,True
Llama3.1,base,Clinical,gender,Cisgender Man,150,7.595,20.837,0.000e+00,0.000e+00,True
Llama3.1,base,Clinical,gender,Cisgender Woman,150,7.57,20.901,0.000e+00,0.000e+00,True
Llama3.1,base,Clinical,ses,Low,200,9.598,37.725,0.000e+00,0.000e+00,True
Llama3.1,base,Clinical,ses,Middle,200,7.907,27.969,0.000e+00,0.000e+00,True
Llama3.1,base,Clinical,ses,High,200,7.163,23.885,0.000e+00,0.000e+00,True
Llama3.1,base,Narrative,race,White,120,4.83,12.111,4.441e-16,6.016e-16,True
Llama3.1,base,Narrative,race,Black,120,5.066,12.609,0.000e+00,0.000e+00,True
Llama3.1,base,Narrative,race,Hispanic,120,4.554,11.549,2.220e-15,2.941e-15,True
Llama3.1,base,Narrative,race,Asian,120,5.176,13.761,0.000e+00,0.000e+00,True
Llama3.1,base,Narrative,gender,Cisgender Man,150,4.102,12.809,0.000e+00,0.000e+00,True
Llama3.1,base,Narrative,gender,Cisgender Woman,150,3.937,10.794,6.661e-16,8.957e-16,True
Llama3.1,base,Narrative,ses,Low,200,6.513,24.579,0.000e+00,0.000e+00,True
Llama3.1,base,Narrative,ses,Middle,200,3.612,13.504,0.000e+00,0.000e+00,True
Llama3.1,base,Narrative,ses,High,200,4.018,14.801,0.000e+00,0.000e+00,True
Llama3.1,ablit,Clinical,race,White,120,1.963,6.162,8.082e-08,9.010e-08,True
Llama3.1,ablit,Clinical,race,Black,120,2.583,7.919,1.471e-10,1.760e-10,True
Llama3.1,ablit,Clinical,race,Hispanic,120,2.138,6.616,1.541e-08,1.768e-08,True
Llama3.1,ablit,Clinical,race,Asian,120,3.168,9.416,1.018e-12,1.247e-12,True
Llama3.1,ablit,Clinical,gender,Cisgender Man,150,1.848,6.835,2.463e-09,2.861e-09,True
Llama3.1,ablit,Clinical,gender,Cisgender Woman,150,1.93,6.228,2.896e-08,3.259e-08,True
Llama3.1,ablit,Clinical,ses,Low,200,4.423,19.869,0.000e+00,0.000e+00,True
Llama3.1,ablit,Clinical,ses,Middle,200,0.532,3.317,1.241e-03,1.302e-03,True
